RBD,ESTABLECIMIENTO,COMUNA,AREA,PRUEBA,NIVEL,PUNTAJE
6502,ESCUELA BASICA NEHUENTUE,CARAHUE,URBANO,MATEMÁTICAS,3B,594
6502,ESCUELA BASICA NEHUENTUE,CARAHUE,URBANO,MATEMÁTICAS,2B,600
6504,ESCUELA TRANAPUENTE,CARAHUE,RURAL,LENGUAJE,3B,563
6504,ESCUELA TRANAPUENTE,CARAHUE,RURAL,LENGUAJE,2B,571
6504,ESCUELA TRANAPUENTE,CARAHUE,RURAL,LENGUAJE,1B,580
6504,ESCUELA TRANAPUENTE,CARAHUE,RURAL,MATEMÁTICAS,3B,557
6504,ESCUELA TRANAPUENTE,CARAHUE,RURAL,MATEMÁTICAS,1B,565
6504,ESCUELA TRANAPUENTE,CARAHUE,RURAL,MATEMÁTICAS,2B,590
6506,ESCUELA MUNICIPAL DINAMARCA,CARAHUE,RURAL,LENGUAJE,2B,618
6506,ESCUELA MUNICIPAL DINAMARCA,CARAHUE,RURAL,LENGUAJE,1B,0
6506,ESCUELA MUNICIPAL DINAMARCA,CARAHUE,RURAL,LENGUAJE,3B,0
6506,ESCUELA MUNICIPAL DINAMARCA,CARAHUE,RURAL,MATEMÁTICAS,2B,651
6506,ESCUELA MUNICIPAL DINAMARCA,CARAHUE,RURAL,MATEMÁTICAS,1B,0
6506,ESCUELA MUNICIPAL DINAMARCA,CARAHUE,RURAL,MATEMÁTICAS,3B,0
6508,ESCUELA BASICA DINAMARCA. LUCERO,CARAHUE,RURAL,LENGUAJE,1B,554
6508,ESCUELA BASICA DINAMARCA. LUCERO,CARAHUE,RURAL,LENGUAJE,2B,0
6508,ESCUELA BASICA DINAMARCA. LUCERO,CARAHUE,RURAL,LENGUAJE,3B,0
6508,ESCUELA BASICA DINAMARCA. LUCERO,CARAHUE,RURAL,MATEMÁTICAS,1B,547
6508,ESCUELA BASICA DINAMARCA. LUCERO,CARAHUE,RURAL,MATEMÁTICAS,2B,0
6508,ESCUELA BASICA DINAMARCA. LUCERO,CARAHUE,RURAL,MATEMÁTICAS,3B,0
6510,ESCUELA BASICA PAILACOYAN,CARAHUE,RURAL,LENGUAJE,1B,626
6510,ESCUELA BASICA PAILACOYAN,CARAHUE,RURAL,LENGUAJE,2B,0
6510,ESCUELA BASICA PAILACOYAN,CARAHUE,RURAL,LENGUAJE,3B,0
6510,ESCUELA BASICA PAILACOYAN,CARAHUE,RURAL,MATEMÁTICAS,1B,577
6510,ESCUELA BASICA PAILACOYAN,CARAHUE,RURAL,MATEMÁTICAS,2B,0
6510,ESCUELA BASICA PAILACOYAN,CARAHUE,RURAL,MATEMÁTICAS,3B,0
6512,ESCUELA VILLA LAS ARAUCARIAS,CARAHUE,RURAL,LENGUAJE,1B,496
6512,ESCUELA VILLA LAS ARAUCARIAS,CARAHUE,RURAL,LENGUAJE,3B,529
6512,ESCUELA VILLA LAS ARAUCARIAS,CARAHUE,RURAL,LENGUAJE,2B,0
6512,ESCUELA VILLA LAS ARAUCARIAS,CARAHUE,RURAL,MATEMÁTICAS,1B,513
6512,ESCUELA VILLA LAS ARAUCARIAS,CARAHUE,RURAL,MATEMÁTICAS,3B,529
